Number of Threads    Time (Seconds)  Speedup        
1                    51.892385       1.000000       
2                    30.816495       1.683916       
3                    24.873032       2.086291       
4                    20.852174       2.488584       
5                    19.028618       2.727071       
6                    18.013198       2.880798       
7                    17.544022       2.957839       
8                    17.402128       2.981956       
9                    24.519522       2.116370       
10                   23.712591       2.188389       
11                   26.808932       1.935638       
12                   27.162939       1.910411       
13                   24.059849       2.156804       
14                   24.679061       2.102689       
15                   25.196435       2.059513       
16                   26.323489       1.971334       
