Number of Threads    Time (Seconds)  Speedup        
1                    13.645267       1.000000       
2                    7.457060        1.829845       
3                    5.491243        2.484914       
4                    4.840131        2.819194       
5                    4.827044        2.826837       
6                    8.842850        1.543085       
7                    9.738743        1.401132       
8                    10.079142       1.353812       
9                    10.226562       1.334297       
10                   10.768287       1.267172       
11                   14.611524       0.933870       
