Number of Threads    Time (Seconds)  Speedup        
1                    13.312716       1.000000       
2                    7.371481        1.805976       
3                    5.471774        2.432980       
4                    4.802094        2.772273       
5                    4.498603        2.959300       
6                    8.730302        1.524886       
7                    9.116309        1.460319       
8                    9.477029        1.404735       
9                    9.923161        1.341580       
10                   10.486391       1.269523       
11                   14.543186       0.915392       
